Manufacturer,Year,Model,count,S.D,Mean
Tata,2016,Nano,5,55497,238000
Tata,2016,Indica E V2,3,126951,256666
Tata,2016,Indigo Cs,1,0,250000
Tata,2016,Indica Vista,3,0,420000
Tata,2016,Sumo,3,28795,746666
Tata,2016,Indica V2,19,43154,312263
Tata,2016,Indica,3,164050,248666
Tata,2016,Zest,3,239478,505000
Tata,2016,Indica Ev2,5,102127,288000
Tata,2016,Indigo Ecs,12,60608,327083
Tata,2016,Indigo,2,272236,282500
Tata,2010,Vista,9,17114,199277
Tata,2010,Vista Tech,1,0,280000
Tata,2010,Indigo Cs,25,8437,187920
Tata,2010,Indica E V2,2,120208,185000
Tata,2010,Sumo,19,16663,238157
Tata,2010,Indica,70,5218,125414
Tata,2010,Indigo Marina,3,26127,106333
Tata,2010,Safari,30,13952,403566
Tata,2010,Winger,14,15674,389642
Tata,2010,Indica V2 Xeta,1,0,180000
Tata,2010,Manza,178,4798,245382
Tata,2010,Indigo Ecs,7,23712,182857
Tata,2010,Nano,85,2717,72171
Tata,2010,Indica Vista,70,7055,231485
Tata,2010,Indica V2,50,5673,132758
Tata,2010,Indicab,4,16583,87499
Tata,2010,Sumo Grande,9,28868,282000
Tata,2010,Aria,1,0,450000
Tata,2010,Grande Dicor,2,113137,320000
Tata,2010,Indica V2 Turbo,3,19472,121666
Tata,2010,Tl,1,0,55000
Tata,2010,Indica Ev2,2,31819,142500
Tata,2010,Indigo,7,15175,173857
Tata,2010,Indigo Xl,5,23525,172600
Tata,2011,Vista,10,21198,280000
Tata,2011,Indica E V2,26,11215,173884
Tata,2011,Indigo Cs,25,11134,235600
Tata,2011,Vista Tech,2,113137,245000
Tata,2011,Sumo,12,22678,281000
Tata,2011,Indica,32,7238,152093
Tata,2011,Venture,7,28840,257142
Tata,2011,Safari,23,16228,479174
Tata,2011,Winger,4,48619,332500
Tata,2011,Manza,65,10503,285415
Tata,2011,Indigo Ecs,34,12678,212532
Tata,2011,Nano,120,2317,75649
Tata,2011,Indica Vista,59,9704,275288
Tata,2011,Sumo Gold,2,176776,325000
Tata,2011,Indica V2,112,4678,167491
Tata,2011,Indicab,3,53189,228333
Tata,2011,Sumo Grande,8,44287,245375
Tata,2011,Aria,7,29293,542857
Tata,2011,Grande Dicor,4,19057,473750
Tata,2011,Indica V2 Turbo,3,10731,136333
Tata,2011,Indica Ev2,27,9555,206666
Tata,2011,Indigo,7,24193,195714
Tata,2011,Indigo Xl,2,77781,205000
Tata,2012,Vista,16,23473,309443
Tata,2012,Indica E V2,22,10178,197727
Tata,2012,Indigo Cs,9,36551,271555
Tata,2012,Sumo,10,17750,355500
Tata,2012,Venture,13,31937,269240
Tata,2012,Indigo Marina,1,0,198000
Tata,2012,Safari,43,14863,509046
Tata,2012,Indica V2 Xeta,2,113137,255000
Tata,2012,Manza,35,16955,331571
Tata,2012,Sumo Gold,32,13184,347812
Tata,2012,Indica V2,99,5786,209171
Tata,2012,Indica Ev2,26,10504,200692
Tata,2012,Xenon Xt,1,0,525000
Tata,2012,Vista Tech,1,0,390000
Tata,2012,Indica,22,8908,185409
Tata,2012,Winger,1,0,250000
Tata,2012,Indigo Ecs,48,8875,232560
Tata,2012,Safari Storme,4,239645,703750
Tata,2012,Nano,126,2382,88857
Tata,2012,Indica Vista,67,9616,302597
Tata,2012,Indicab,2,118086,116500
Tata,2012,Aria,8,56473,585625
Tata,2012,Grande Dicor,3,150499,460000
Tata,2012,Indigo,7,33549,235714
Tata,2012,Indigo Xl,8,20400,227250
Tata,2013,Vista,4,55926,325000
Tata,2013,Indica E V2,10,18843,281199
Tata,2013,Indigo Cs,3,46770,395000
Tata,2013,Vista Tech,1,0,395000
Tata,2013,Sumo,2,45961,382500
Tata,2013,Movus,1,0,230000
Tata,2013,Estate,1,0,245000
Tata,2013,Indica,8,37883,233875
Tata,2013,Venture,4,37666,203750
Tata,2013,Indica V2 Xeta,1,0,270000
Tata,2013,Winger,2,282842,500000
Tata,2013,Safari,4,103104,757500
Tata,2013,Manza,7,61727,360714
Tata,2013,Indigo Ecs,16,21692,310312
Tata,2013,Safari Storme,11,29141,910454
Tata,2013,Nano,40,6851,131210
Tata,2013,Indica Vista,37,18387,341648
Tata,2013,Sumo Gold,24,11118,404041
Tata,2013,Indica V2,71,6313,288661
Tata,2013,Aria,3,61237,550000
Tata,2013,Indica Ev2,10,18902,290099
Tata,2013,Xenon Xt,5,57456,621000
Tata,2013,Indigo,2,10606,292500
Tata,2014,Indica E V2,6,32841,289666
Tata,2014,Vista Tech,2,31819,462500
Tata,2014,Indigo Cs,2,2828,333000
Tata,2014,Zest,8,41622,568750
Tata,2014,Indica,2,120208,360000
Tata,2014,Venture,1,0,285000
Tata,2014,Safari,1,0,750000
Tata,2014,Manza,6,39522,440000
Tata,2014,Indigo Ecs,11,21352,395909
Tata,2014,Safari Storme,3,117703,941666
Tata,2014,Nano,48,7514,179349
Tata,2014,Indica Vista,27,15047,392962
Tata,2014,Sumo Gold,8,40405,463125
Tata,2014,Indica V2,43,12710,340679
Tata,2014,Aria,1,0,500000
Tata,2014,Indica Ev2,7,32133,290714
Tata,2014,Xenon Xt,2,155563,470000
Tata,2014,Indigo,2,28284,390000
Tata,2015,Vista,1,0,400000
Tata,2015,Indica E V2,8,26853,424499
Tata,2015,Sumo,1,0,700000
Tata,2015,Zest,9,38527,591666
Tata,2015,Indica,25,15655,325600
Tata,2015,Indigo Marina,1,0,207000
Tata,2015,Winger,2,164992,783333
Tata,2015,Indica V2 Xeta,1,0,375000
Tata,2015,Manza,1,0,230000
Tata,2015,Indigo Ecs,7,44991,424142
Tata,2015,Nano,13,15555,217846
Tata,2015,Indica Vista,15,22654,499333
Tata,2015,Indica V2,50,15671,389540
Tata,2015,Aria,1,0,685000
Tata,2015,Indica V2 Turbo,1,0,349999
Tata,2015,Indica Ev2,10,31642,410000
Tata,2015,Xenon Xt,2,17677,712500
Tata,2015,Indigo,2,0,489000
Tata,2015,Indigo Xl,1,0,390000
